-3.19744e-14 12 0 
7.66044 18.4279 0 
7.66044 18.4279 -5 
-3.19744e-14 12 -5 

-3.19744e-14 12 0 
9.39693 8.5798 0 
9.39693 8.5798 -5 
-3.19744e-14 12 -5 

-3.19744e-14 12 0 
1.73648 2.15192 0 
1.73648 2.15192 -5 
-3.19744e-14 12 -5 

-3.19744e-14 12 0 
-7.66044 5.57212 0 
-7.66044 5.57212 -5 
-3.19744e-14 12 -5 

-3.19744e-14 12 0 
-9.39693 15.4202 0 
-9.39693 15.4202 -5 
-3.19744e-14 12 -5 

-3.19744e-14 12 0 
-1.73648 21.8481 0 
-1.73648 21.8481 -5 
-3.19744e-14 12 -5 

-3.19744e-14 12 0 
7.66044 18.4279 0 
7.66044 18.4279 -5 
-3.19744e-14 12 -5 

