48.5 -12 68.5
55.741 -18.897 68.5
55.741 -18.897 63.5
48.5 -12 63.5

48.5 -12 68.5
46.1475 -21.7194 68.5
46.1475 -21.7194 63.5
48.5 -12 63.5

48.5 -12 68.5
38.9066 -14.8224 68.5
38.9066 -14.8224 63.5
48.5 -12 63.5

48.5 -12 68.5
41.259 -5.10302 68.5
41.259 -5.10302 63.5
48.5 -12 63.5

48.5 -12 68.5
50.8525 -2.28064 68.5
50.8525 -2.28064 63.5
48.5 -12 63.5

48.5 -12 68.5
58.0934 -9.17762 68.5
58.0934 -9.17762 63.5
48.5 -12 63.5

48.5 -12 68.5
55.741 -18.897 68.5
55.741 -18.897 63.5
48.5 -12 63.5

