   24.6035142899   67.5645035093   10.0000000000
   24.6035142899   67.5645035093   13.0000000000

   22.0000000000   60.0000000000   10.0000000000
   16.7507049389   66.0369612688   10.0000000000

   16.7507049389   66.0369612688   13.0000000000
   22.0000000000   60.0000000000   10.0000000000

   14.1471906490   58.4724577595   10.0000000000
   14.1471906490   58.4724577595   13.0000000000

   22.0000000000   60.0000000000   10.0000000000
   19.3964857101   52.4354964907   10.0000000000

   19.3964857101   52.4354964907   13.0000000000
   22.0000000000   60.0000000000   10.0000000000

   27.2492950611   53.9630387312   10.0000000000
   27.2492950611   53.9630387312   13.0000000000

   22.0000000000   60.0000000000   10.0000000000
   29.8528093510   61.5275422405   10.0000000000

   29.8528093510   61.5275422405   13.0000000000
   22.0000000000   60.0000000000   10.0000000000

   24.6035142899   67.5645035093   10.0000000000
   24.6035142899   67.5645035093   13.0000000000

   22.0000000000   60.0000000000   10.0000000000
   16.7507049389   66.0369612688   10.0000000000

   16.7507049389   66.0369612688   13.0000000000
   22.0000000000   60.0000000000   10.0000000000

   24.6035142899   67.5645035093   10.0000000000
   24.6035142899   67.5645035093   13.0000000000
